name,address,District Name,is_nabh_accredited,hospital_tier,google_rating,google_ratings_total,latitude,longitude,hospital_id
DHRUV HOSPITAL,"DHRUV HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.7,246,28.4582344,79.4047452,5279
SHIVANI HOSPITAL PRIVATE LIMITED,"SHIVANI HOSPITAL PRIVATE LIMITED, KANPUR NAGAR, UTTAR PRADESH",KANPUR NAGAR,False,B,4.0,274,26.4410107,80.2652803,5280
MAHESH NURSING HOME PVT. LTD.,"MAHESH NURSING HOME PVT. LTD., BULANDSHAHR, UTTAR PRADESH",BULANDSHAHR,False,C,3.8,285,28.3874073,77.9743805,5281
JAN NAVJEEVAN HOSPITAL,"JAN NAVJEEVAN HOSPITAL, MAU, UTTAR PRADESH",MAU,False,B,3.9,244,26.0390904,83.4985846,5282
NARAYAN HOSPITAL,"NARAYAN HOSPITAL, MEERUT, UTTAR PRADESH",MEERUT,False,B,4.3,350,29.0018557,77.7679671,5283
Indra Kidney Care & Surgical center,"Indra Kidney Care & Surgical center, GONDA, UTTAR PRADESH",GONDA,False,B,3.9,205,27.1103723,81.9238906,5284
SHIVA HOSPITAL,"SHIVA HOSPITAL, FATEHPUR, UTTAR PRADESH",FATEHPUR,False,C,3.6,371,25.8348023,80.9154547,5285
PRASHANT NURSING HOME ALIAS PRASHANT SUPER SPECIALITY HOSPITAL,"PRASHANT NURSING HOME ALIAS PRASHANT SUPER SPECIALITY HOSPITAL, ALIGARH, UTTAR PRADESH",ALIGARH,False,B,4.0,197,27.8761073,78.1358153,5286
MIRZA CHARITABLE HOSPITAL,"MIRZA CHARITABLE HOSPITAL, UNNAO, UTTAR PRADESH",UNNAO,False,B,4.2,223,26.5673264,80.6198193,5287
Dev Eye Centre,"Dev Eye Centre, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,C,3.5,329,28.7749966,77.4586967,5288
new  dewa hospital,"new  dewa hospital, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.5,489,26.8381,80.9346001,5289
SAMARPAN CENTER OF SURGICAL EXCELLENCE,"SAMARPAN CENTER OF SURGICAL EXCELLENCE, KANPUR NAGAR, UTTAR PRADESH",KANPUR NAGAR,False,C,3.5,293,26.4410107,80.2652803,5290
SANSKAR HOSPITAL,"SANSKAR HOSPITAL, MEERUT, UTTAR PRADESH",MEERUT,False,C,3.6,228,29.0018557,77.7679671,5291
curomax hospital,"curomax hospital, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.2,80,28.7749966,77.4586967,5292
SANJIWANEE LIFE CARE HOSPITAL,"SANJIWANEE LIFE CARE HOSPITAL, VARANASI, UTTAR PRADESH",VARANASI,False,B,3.9,298,25.3356491,83.0076292,5293
Center Hospital,"Center Hospital, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.0,399,26.9247615,80.9360325,5294
HEALING TREE HOSPITAL A UNIT OF MANJUSHA HEALTHCARE PVT LTD,"HEALING TREE HOSPITAL A UNIT OF MANJUSHA HEALTHCARE PVT LTD, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,True,A,4.8,113,28.7749966,77.4586967,5295
Neeru Medical Centre,"Neeru Medical Centre, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.1,203,26.8381,80.9346001,5296
MARIAMPUR HOSPITAL,"MARIAMPUR HOSPITAL, KANPUR NAGAR, UTTAR PRADESH",KANPUR NAGAR,False,B,4.1,470,26.464995,80.3059435,5297
JAPNAAM KRITKAR HOSPITAL,"JAPNAAM KRITKAR HOSPITAL, AGRA, UTTAR PRADESH",AGRA,False,C,3.7,134,27.1752554,78.0098161,5298
Rahul Nursing Home,"Rahul Nursing Home, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.1,274,26.6677977,83.3642334,5299
SAPPHIRE HOSPITAL A UNIT OF AGRA MEDICAL AND CARDIAC SUPER SPECIALTY HOSPITAL LLP,"SAPPHIRE HOSPITAL A UNIT OF AGRA MEDICAL AND CARDIAC SUPER SPECIALTY HOSPITAL LLP, AGRA, UTTAR PRADESH",AGRA,False,B,4.2,435,27.1752554,78.0098161,5300
VARDAAN HOSPITAL AND RESEARCH CENTER,"VARDAAN HOSPITAL AND RESEARCH CENTER, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.6,303,26.8381,80.9346001,5301
LUCKNOW HOSPITAL AND SURGICAL CENTRE,"LUCKNOW HOSPITAL AND SURGICAL CENTRE, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.2,477,26.8381,80.9346001,5302
